Gmt time,Open,High,Low,Close,Volume
06.01.2020 15:20:00.000,131.478,131.494,131.424,131.438,9.550.799.999.999.990
06.01.2020 15:25:00.000,131.439,131.539,131.439,131.503,672.77
06.01.2020 15:30:00.000,131.506,131.573,131.466,131.540,1135.14
06.01.2020 15:35:00.000,131.539,131.551,131.496,131.498,7.246.700.000.000.000
06.01.2020 15:40:00.000,131.498,131.506,131.453,131.484,1049.52
06.01.2020 15:45:00.000,131.485,131.537,131.482,131.498,799.02
06.01.2020 15:50:00.000,131.498,131.578,131.496,131.566,549.84
06.01.2020 15:55:00.000,131.565,131.622,131.544,131.584,946.15
06.01.2020 16:00:00.000,131.584,131.603,131.518,131.525,8.133.999.999.999.990
06.01.2020 16:05:00.000,131.527,131.569,131.517,131.566,412.94
06.01.2020 16:10:00.000,131.566,131.611,131.544,131.553,598.4
06.01.2020 16:15:00.000,131.552,131.632,131.551,131.632,42.118.999.999.999.900
06.01.2020 16:20:00.000,131.634,131.680,131.625,131.664,50.621.000.000.000.000
06.01.2020 16:25:00.000,131.662,131.697,131.624,131.636,7.748.800.000.000.000
06.01.2020 16:30:00.000,131.637,131.671,131.614,131.629,7.973.099.999.999.990
06.01.2020 16:35:00.000,131.629,131.664,131.616,131.645,572.82
06.01.2020 16:40:00.000,131.645,131.667,131.624,131.631,36.871.000.000.000.000
06.01.2020 16:45:00.000,131.629,131.636,131.584,131.591,594.94
06.01.2020 16:50:00.000,131.592,131.625,131.564,131.617,458.01
06.01.2020 16:55:00.000,131.617,131.635,131.598,131.622,43.469.000.000.000.000
06.01.2020 17:00:00.000,131.620,131.680,131.573,131.679,589.28
06.01.2020 17:05:00.000,131.678,131.693,131.672,131.682,42.781.000.000.000.000
06.01.2020 17:10:00.000,131.682,131.719,131.669,131.681,380.72
06.01.2020 17:15:00.000,131.681,131.745,131.681,131.711,5.809.499.999.999.990
06.01.2020 17:20:00.000,131.711,131.722,131.691,131.705,448.05
06.01.2020 17:25:00.000,131.707,131.721,131.661,131.671,650.62
06.01.2020 17:30:00.000,131.672,131.681,131.642,131.659,42.617.999.999.999.900
06.01.2020 17:35:00.000,131.660,131.661,131.620,131.631,466.18
06.01.2020 17:40:00.000,131.631,131.636,131.603,131.612,278.77
06.01.2020 17:45:00.000,131.612,131.618,131.568,131.582,350.96
06.01.2020 17:50:00.000,131.582,131.619,131.581,131.584,372.08
06.01.2020 17:55:00.000,131.587,131.604,131.560,131.589,582.83
06.01.2020 18:00:00.000,131.588,131.646,131.585,131.603,566.31
06.01.2020 18:05:00.000,131.602,131.617,131.595,131.614,207.94
06.01.2020 18:10:00.000,131.614,131.643,131.607,131.615,275.02
06.01.2020 18:15:00.000,131.616,131.636,131.601,131.616,238.2
06.01.2020 18:20:00.000,131.616,131.676,131.615,131.667,304.1
06.01.2020 18:25:00.000,131.665,131.665,131.639,131.645,287.58
06.01.2020 18:30:00.000,131.645,131.646,131.631,131.643,22.853.000.000.000.000
06.01.2020 18:35:00.000,131.645,131.659,131.641,131.646,16.970.999.999.999.900
06.01.2020 18:40:00.000,131.646,131.662,131.642,131.659,427
06.01.2020 18:45:00.000,131.659,131.663,131.638,131.643,273.38
06.01.2020 18:50:00.000,131.646,131.646,131.605,131.606,265.31
06.01.2020 18:55:00.000,131.606,131.612,131.574,131.574,258.97
06.01.2020 19:00:00.000,131.574,131.581,131.555,131.572,377.08
06.01.2020 19:05:00.000,131.572,131.609,131.572,131.596,275.86
06.01.2020 19:10:00.000,131.596,131.597,131.564,131.569,405.77
06.01.2020 19:15:00.000,131.571,131.574,131.553,131.566,262.93
06.01.2020 19:20:00.000,131.561,131.589,131.553,131.582,179.07
06.01.2020 19:25:00.000,131.581,131.610,131.577,131.607,278.65
06.01.2020 19:30:00.000,131.607,131.608,131.555,131.564,316.56
06.01.2020 19:35:00.000,131.565,131.583,131.558,131.562,304.07
06.01.2020 19:40:00.000,131.565,131.591,131.562,131.589,189.36
06.01.2020 19:45:00.000,131.588,131.608,131.572,131.588,30.803.999.999.999.900
06.01.2020 19:50:00.000,131.588,131.591,131.573,131.579,38.065.999.999.999.900
06.01.2020 19:55:00.000,131.580,131.638,131.579,131.627,342.99
06.01.2020 20:00:00.000,131.626,131.633,131.596,131.608,23.992.000.000.000.000
06.01.2020 20:05:00.000,131.607,131.618,131.597,131.601,164.63
06.01.2020 20:10:00.000,131.606,131.630,131.606,131.627,107.57
06.01.2020 20:15:00.000,131.627,131.644,131.626,131.627,10.772.999.999.999.900
06.01.2020 20:20:00.000,131.626,131.638,131.612,131.612,203.6
06.01.2020 20:25:00.000,131.612,131.623,131.608,131.612,337.1
